GTIN,MRID
06291103730497,620101-0122-6401-05-04
06285147007714,620101-0122-6401-06-04
05702191010756,110101-0141-0401-02-04
05702191010749,110101-0241-0401-01-04
05702191010763,110101-0146-2713-02-01
05702191010732,110101-0146-5406-01-11
05413868101300,640101-0146-2713-02-01
05413868101294,640101-0146-2713-02-01
00771313231206,420101-0122-6409-01-04
06285147006151,420101-0122-6409-03-04
06285088001406,420101-0122-6409-04-04
06285088002182,270101-0122-2713-01-17
96600000009275,270101-0122-2713-01-17
96600000002591,270101-0122-2713-01-17
96600000001868,270101-0122-2713-01-17
06285088002199,270101-0222-2713-01-17
96600000008522,270101-0222-2713-01-17
96600000001318,270101-0222-2713-01-17
96600000000864,270101-0222-2713-01-17
99660404221909,270101-0222-2713-01-17
09501100940681,610101-0122-6401-01-04
09501100940698,610101-0222-6401-01-04
06221032114204,610101-0122-6401-03-04
06221032114143,610101-0222-6401-03-04
06091403216680,610101-0122-6401-04-11
06285101005176,100201-0122-6410-01-04
06285101005183,100201-0222-6410-01-04
96600000010482,100201-0122-6410-02-04
96600000010483,100201-0222-6410-02-04
07612797582985,540402-0122-6410-01-04
07612797582992,540402-0122-6410-01-04
07612797583005,540402-0222-6410-01-04
00313533004156,150101-0130-2706-01-19
05415062002469,680101-0122-6401-01-04
05415062002452,680101-0222-6401-01-04
05415062004203,680101-0322-6401-01-04
05415062004456,190201-0141-2706-01-19
05415062002001,190201-0130-2714-01-01
99661533019000,190201-0129-0901-01-11
06285079001750,140201-0122-2706-01-19
03760242570064,820102-0146-5401-01-19
96600000008184,370203-0101-3801-01-05
06285088000775,020102-0122-6001-01-05
06291100081431,020102-0222-6001-01-05
06291100085224,020102-0222-6402-01-04
06291100080830,020102-0322-6402-01-04
06285105001068,020102-0422-6402-01-04
06281080012631,020102-0122-2303-01-05
06221032220868,020103-0130-6001-01-05
06221032222039,020104-0122-6001-01-05
06285088000768,020105-0122-6001-01-05
06291100081257,020105-0222-6001-01-05
04046222337049,670101-0122-6401-01-11
06251107072016,770102-0130-6201-01-05
06285128002769,770102-0130-6201-02-05
06285079000227,770102-0130-3501-01-05
06285088002311,770102-0230-3501-01-05
06285088002304,770102-0230-3501-01-05
06285088002298,770102-0122-6401-01-04
06285088002335,770102-0222-0401-01-04
06291100084715,770102-0322-6201-01-05
06291100084708,770102-0122-6401-02-04
06291100081745,330101-0130-2713-01-01
06291107471648,330101-0230-2713-01-01
96677000000142,330101-0230-2713-02-19
06251065023631,330101-0130-2713-02-01
06251065023624,330101-0230-2713-03-01
06251107002013,210201-0122-6401-01-04
00771313225991,210201-0122-6401-02-04
15285003471671,210201-0222-6401-01-04
04030539056137,170301-0201-5401-01-05
04030539092265,170301-0201-5401-01-05
04030539149280,170301-0101-5401-02-05
04030539170550,170301-0101-5401-02-05
04086000033534,170301-0101-5401-03-05
96600000005640,170301-0501-5401-01-05
96600000004082,170301-0301-5401-01-05
96600000002266,170301-0122-5401-01-05
96600000002326,170301-0122-5401-01-05
96600000001460,170301-0601-2713-01-05
04086000033237,170302-0104-2704-01-03
04086000033213,170302-0106-2704-01-03
04086000033220,170302-0106-2704-01-03
20304095921016,760201-0130-2713-01-19
06285088000324,190301-0130-2713-01-01
06285088000331,190301-0122-6401-01-04
96600000004592,190301-0130-5402-01-01
09088882442706,190301-0122-6401-02-04
06286219000176,680201-0122-6401-01-04
06286219000169,680201-0222-6401-01-04
06286219000152,680201-0322-6401-01-04
06286219000145,680201-0422-6401-01-04
06285088001161,680201-0122-6401-02-04
06285088001130,680201-0222-6401-02-04
03582910073321,680201-0322-6401-02-04
03582910047223,680201-0422-6410-01-04
18901175038173,680201-0322-6410-01-04
18901175038180,680201-0422-6410-02-04
06286144000012,250101-0122-6401-01-04
06286144000029,250101-0122-6401-01-04
06286144000005,250101-0122-6401-01-04
06286144000043,250101-0222-6401-01-04
06286144000050,250101-0222-6401-01-04
06286144000036,250101-0222-6401-01-04
15283009051545,250101-0122-6401-02-04
06285104000987,250101-0122-6401-03-04
06251107426970,250101-0222-0401-01-04
06291100082858,250101-0122-0401-01-04
06281086011997,250101-0122-0401-02-04
06281086002520,250101-0222-0401-02-04
06285094000004,250101-0122-0401-03-04
05415062000151,250101-0122-0401-04-04
05415062000120,250101-0222-0401-03-04
06285095007033,250101-0122-0401-05-04
06285128000109,250101-0322-0401-01-04
06285128009553,250101-0122-0401-06-04
06285128009546,250101-0222-0401-04-04
06281147001806,250101-0122-0401-07-04
06291103730640,250101-0122-0401-08-04
96600000005168,250101-0122-0401-09-04
06288030000151,250101-0322-6410-01-04
06288030000144,250101-0122-6410-01-04
06288030000137,250101-0222-6410-01-04
07640153088789,250101-0122-6401-06-04
07640153088796,250101-0222-6401-02-04
06285147002566,250101-0122-0401-10-04
06285147001361,250101-0222-0401-05-04
06251154069014,250101-0122-0401-11-04
06251159031023,250101-0122-0401-12-04
06281080003257,250101-0322-6401-01-04
06281080003264,250101-0122-6401-07-04
06281080003271,250101-0222-6401-03-04
96600000009271,250101-0122-6401-08-04
96600000009272,250101-0222-6401-04-04
05415062000199,270201-0122-6401-01-04
05415062000229,270201-0222-6401-01-04
05415062000250,270201-0322-6401-01-04
05415062000281,270201-0422-6401-01-04
05415062000311,270201-0522-6401-01-04
05415062000335,270201-0622-6401-01-04
06285312000403,280101-0101-5401-01-05
03499320010443,280101-0101-3501-01-05
06281086000076,480101-0130-4804-01-05
06281086000083,480101-0230-4804-01-05
06281086000052,480101-0122-0401-01-04
06281086000069,480101-0222-0401-01-04
06221032131492,480101-0222-0401-02-04
06221032150660,480101-0130-4804-02-05
06221032150684,480101-0230-4804-02-05
06291103730121,480101-0222-0401-03-04
06281086010884,480101-0130-4804-03-05
06281086002308,480101-0330-4804-01-05
06281086010891,480101-0230-4804-03-05
06281086002315,480101-0430-4804-01-05
06281086002551,480101-0322-6410-01-04
06291100082261,480101-0422-4804-01-05
06291100083510,480101-0222-0401-05-04
06251107426932,480101-0122-0401-03-04
96677000000651,480101-0122-0401-03-04
06251107427441,480101-0222-0401-06-04
06251107426949,480101-0222-0401-06-04
06295143000008,480101-0130-4804-04-05
06295143000015,480101-0230-4804-04-05
06285105001082,480101-0130-4804-05-05
06285105001167,480101-0530-5406-01-05
06285105001129,480101-0122-0401-04-04
06285105001143,480101-0222-0401-07-04
06285101002472,480101-0130-4804-06-05
06285101002496,480101-0230-4804-05-05
06285101002458,480101-0122-0401-05-04
06285101002465,480101-0222-0401-08-04
06251065015322,480201-0122-2706-01-19
05944736017411,480201-0122-2706-02-19
06285097000049,480201-0122-4801-01-19
06285096003874,480201-0122-4801-01-19
06285097000094,480201-0230-4804-01-05
06285097000117,480201-0222-6401-02-04
06285097000070,480201-0330-4804-01-05
06285097000100,480201-0430-4804-01-05
06285097000056,480201-0322-4801-01-19
06285096003881,480201-0322-4801-01-19
06285096003201,480201-0422-6401-01-04
06285097000087,480201-0530-4804-01-05
06285097000018,480201-0522-6401-01-04
06285097002531,480201-0630-4804-01-05
06285097000025,480201-0130-4801-01-05
06285097000063,480201-0622-6401-01-04
06285096003898,480201-0622-6401-01-04
06251107239020,480201-0422-6410-01-04
06251107268013,480201-0530-4804-02-05
06251107241016,480201-0522-6401-02-04
07640153080080,480201-0522-6410-01-04
06291107932736,480201-0122-2706-03-19
09002260023875,480201-0230-4804-02-05
09002260023882,480201-0430-4804-02-05
06291107932729,480201-0322-2706-01-19
07613421063757,480201-0422-6410-02-04
09002260023905,480201-0530-4804-03-05
06291103730039,480201-0222-6410-01-04
06291103730053,480201-0422-6410-03-04
06291103730091,480201-0522-6410-02-04
06291100085262,480201-0122-4801-02-19
06291100087938,480201-0122-4801-02-19
06291100080496,480201-0230-4804-03-05
06291100081691,480201-0222-6401-03-04
06291100080502,480201-0130-4804-02-05
06291100085255,480201-0322-4801-02-19
06291100088287,480201-0322-4801-02-19
06291100081707,480201-0422-6401-02-04
06291100081721,480201-0530-4804-04-05
06291100081714,480201-0522-6401-03-04
06291100087105,480201-0730-4804-01-05
06281086010716,480201-0230-4804-04-05
06281086010747,480201-0222-6410-02-04
06281086011744,480201-0330-4804-02-05
06281086010778,480201-0130-4804-03-05
06281086001912,480201-0130-4804-03-05
06281086010754,480201-0422-6410-04-04
06281086041758,480201-0530-4804-05-05
06281086011508,480201-0522-6401-04-04
06285101002274,480201-0230-4804-05-05
06285101002311,480201-0330-4804-03-05
06285101002328,480201-0430-4804-03-05
06285101002298,480201-0422-6401-03-04
06285101000386,480201-0422-6401-03-04
06285101002335,480201-0530-4804-06-05
06285101002304,480201-0522-6401-05-04
06285101003752,480201-0830-4804-01-05
05290931032064,480201-0522-6410-03-04
06281147001684,480201-0422-6410-05-04
99663105222114,480201-0822-4804-01-03
99663105222115,480201-0922-4804-01-03
96677000005580,010201-0122-2713-01-19
05391507141583,010201-0222-2706-01-19
05944736008587,480102-0104-2706-01-19
05944736008570,480102-0122-2706-01-19
06221032311245,480102-0104-2706-02-19
06221032310965,480102-0122-2706-02-19
96600000007308,480102-0222-5401-01-19
09002260023929,480102-0104-2706-03-19
09002260023912,480102-0122-2706-03-19
05944736017428,480202-0122-2706-01-19
05415062001622,480202-0122-2706-02-19
05415062001615,480202-0222-2706-01-19
96600000005110,640215-0122-6401-01-04
96697798899124,550202-0122-6410-01-04
96600000007141,550202-0122-6401-01-05
96688990000042,550202-0122-6410-02-04
05000456006316,550202-0122-6410-03-04
05055565757758,550202-0122-6410-04-04
99662102221754,490101-0122-2706-01-19
05415062002933,490101-0122-2706-02-19
26285157000723,490101-0122-4803-01-19
96600000008332,310102-0104-0901-01-18
06251151000379,800401-0101-5406-01-11
06281080010200,800401-0101-5406-02-11
06251151000300,740101-0122-5406-01-11
06285128001229,740101-0122-5406-02-11
05413765652318,150310-0115-2706-01-05
05019943000294,520101-0115-2713-01-19
05019943000287,520101-0115-2713-01-19
05019943000300,520101-0215-2713-01-19
05019943000317,520101-0109-2713-01-19
08435308320444,520101-0315-2713-01-19
07612377004210,520101-0146-2713-01-17
99661104221934,520101-0209-2713-01-19
05391531510355,520101-0309-2713-01-19
05413868116175,550301-0122-6410-01-05
06286023000126,140301-0122-6410-01-04
06286023000133,140301-0222-6410-01-04
05415062008805,140301-0122-6410-04-04
05415062008812,140301-0122-6410-04-04
05415062378786,140301-0222-6410-04-04
06286219000473,140301-0122-6410-06-04
06286219000459,140301-0122-6410-06-04
06286219000466,140301-0222-6410-06-04
99661111211301,140301-0122-6410-07-04
99661111211300,140301-0122-6410-07-04
99661111211303,140301-0222-6410-07-04
06286059000190,140301-0122-6410-08-04
06286059000183,140301-0122-6410-08-04
06286059000213,140301-0222-6410-08-04
06286059000206,140301-0222-6410-08-04
96677000000677,570104-0122-6410-01-04
96677000000678,570104-0222-6410-01-04
08715131022143,570104-0122-6410-03-04
08715131022150,570104-0222-6410-01-04
06286219000497,040101-0122-0401-01-04
06286219000480,040101-0222-0401-01-04
06285101004599,140401-0130-2713-01-19
06285101004605,140401-0230-2713-01-19
05702150145376,680401-0122-2706-01-19
06286434000036,680401-0322-6401-01-04
06286434000029,680401-0422-6401-01-04
06285447000170,680401-0222-6401-02-04
06285447000163,680401-0322-6401-02-04
06285447000187,680401-0422-6401-02-04
96677000000129,680401-0522-6401-01-04
06285145000151,680401-0222-6401-03-04
06285145000144,680401-0322-6401-03-04
06285145000168,680401-0422-6401-03-04
06285147802913,680401-0130-5401-01-05
06285147013494,680401-0322-6416-01-05
06285147013586,680401-0322-6416-01-04
06285147013548,680401-0422-6416-01-05
06285147013630,680401-0422-6416-01-04
96677000000439,680401-0322-6401-04-04
96677000000438,680401-0422-6401-04-04
96697798899118,680401-0222-6401-04-04
96697798899119,680401-0322-6401-05-04
96697798899120,680401-0422-6401-05-04
08430469180852,680401-0222-6401-05-04
96629092021012,680401-0222-6401-05-04
08430469180838,680401-0322-6401-06-04
96629092021013,680401-0322-6401-06-04
08430469180845,680401-0422-6401-06-04
96629092021014,680401-0422-6401-06-04
06281086005606,680401-0130-5401-02-05
06281086706923,680401-0222-6401-06-04
06281086293287,680401-0322-6401-07-04
06281086003305,680401-0422-6401-07-04
96677000005584,680401-0322-6401-08-04
96677000005585,680401-0422-6401-08-04
07540187001481,640201-0130-2701-01-09
06285084000038,640201-0230-2713-01-09
06285084000021,640201-0330-2713-01-09
96600000005273,640216-0122-5401-01-09
96600000007490,640216-0222-5401-01-09
06225000198425,110301-0122-2303-01-03
07612797265260,110302-0104-6408-01-11
07640153086648,110303-0104-4803-01-03
06291100088256,110304-0122-6402-01-04
05391527743804,130104-0130-2713-01-19
99660000000003,630101-0122-2305-01-03
03400927959202,630101-0222-2305-01-03
99660000000005,630101-0322-2305-01-03
06285105000115,240101-0122-6410-01-04
06285105000139,240101-0222-6410-01-04
06285105000153,240101-0322-6410-01-04
06281086000571,240101-0322-6401-01-04
96600000001467,240101-0130-5406-01-11
96600000000996,240101-0230-5406-01-11
06285101000089,240101-0222-6410-02-04
06285101002397,240101-0322-6410-02-04
06285101002380,240101-0322-6410-02-04
06285128002875,240101-0222-6410-03-04
06285128002868,240101-0322-6410-03-04
06285085001287,240101-0222-6410-04-04
06285085001324,240101-0322-6410-04-04
05000456032025,240101-0222-6410-05-04
05000456032032,240101-0322-6410-05-04
05000456029841,240101-0322-6410-05-04
96600000003607,240101-0146-5401-01-01
06291100082803,240101-0322-6410-06-04
05000456061315,240201-0122-6410-01-04
96600000002952,240302-0122-0401-01-04
07613326000413,540701-0130-2714-01-19
96677000000443,690301-0122-0401-01-04
96677000000444,690301-0222-0401-01-04
96677000000445,690301-0322-0401-01-04
96677000000446,690301-0422-0401-01-04
96677000000447,690301-0522-0401-01-04
06286219001135,690301-0122-0401-02-04
06286219001128,690301-0222-0401-02-04
06286219001111,690301-0322-0401-02-04
06286219001104,690301-0422-0401-02-04
06286219001098,690301-0522-0401-02-04
00300020772551,690301-0122-0401-03-04
00300020773558,690301-0222-0401-03-04
00300020774555,690301-0322-0401-03-04
00300020775552,690301-0422-0401-03-04
00300020776559,690301-0522-0401-03-04
06285128000147,270301-0122-6410-01-04
06285128000154,270301-0222-6410-01-04
06285128000161,270301-0322-6410-01-04
06291103730688,270301-0122-6410-02-04
06291103730695,270301-0222-6410-02-04
06291103730701,270301-0322-6410-02-04
06285101002083,270301-0122-6410-03-04
99666636133422,270301-0122-6410-03-04
06285101002106,270301-0222-6410-03-04
99666636233422,270301-0222-6410-03-04
06285101002113,270301-0322-6410-03-04
99666636333422,270301-0322-6410-03-04
06285101001031,270301-0422-6410-01-04
96666636433422,270301-0422-6410-01-04
06281086310120,270301-0122-6410-04-04
06281086310137,270301-0222-6410-04-04
06281086310144,270301-0322-6410-04-04
06285145000021,270301-0122-6410-05-04
06285145000038,270301-0222-6410-05-04
06285145000045,270301-0322-6410-05-04
06291100082940,270301-0122-6410-06-04
06291100082957,270301-0222-6410-06-04
06291100087112,270301-0322-6410-06-04
06285147009671,270301-0122-6410-07-04
06285147002054,270301-0222-6410-07-04
06285147009688,270301-0322-6410-07-04
18901296032654,270301-0122-6410-08-04
18901296032661,270301-0222-6410-08-04
18901296033064,270301-0322-6410-08-04
06251154138017,270301-0122-6410-09-04
06251154139014,270301-0222-6410-09-04
06251154141024,270301-0322-6410-09-04
06281086012215,270301-0122-6410-10-04
06281086012222,270301-0222-6410-10-04
06281086012239,270301-0322-6410-10-04
03838957055630,270301-0122-6410-11-04
03838957055647,270301-0222-6410-11-04
96600000008509,270301-0322-6410-11-04
03838957068340,270301-0422-6410-02-04
96600000006021,270301-0122-6410-12-04
96600000006217,270301-0222-6410-12-04
96600000006427,270301-0322-6410-12-04
00366582505198,270401-0122-6410-01-04
00366582505204,270401-0222-6410-01-04
00366582505228,270401-0322-6410-01-04
07640128545743,400101-0130-2713-02-19
07640128544104,400101-0130-2714-01-19
06251065023648,600101-0130-2713-01-01
06251065023655,600101-0130-2713-01-01
05015997106791,600101-0130-2713-02-01
05015997106784,600101-0130-2713-02-01
06091403220144,600101-0130-2713-03-01
06091403220038,600101-0130-2713-03-01
37005677016510,030101-0130-2713-01-17
00304094910345,030101-0146-2713-01-17
00304094911342,030101-0246-2713-01-17
30304094910346,030101-0246-2713-01-17
06285111003506,030101-0230-2713-01-01
06285111003490,030101-0230-2713-01-01
06285111003520,030101-0330-2713-01-01
05014124170056,030101-0330-2713-01-01
06285111003513,030101-0330-2713-01-01
96600000004972,030101-0430-5401-01-01
00324208664544,030101-0201-5406-02-11
06281080011719,030101-0101-5406-02-11
06281080011726,030101-0201-4001-01-05
06281080011733,030101-0201-5406-03-11
96600000007793,070702-0104-4803-01-03
96600000007285,420201-0122-6401-01-04
96600000006980,420201-0222-6401-01-04
96600000006763,420201-0322-6401-01-04
06281086006061,420201-0122-6401-02-04
06281086006399,420201-0222-6401-02-04
06281086006405,420201-0322-6401-02-04
96677000005569,150405-0122-6410-01-04
96677000005570,150405-0122-6410-01-04
96677000005571,150405-0122-6410-01-04
04065265015660,540801-0130-5401-01-19
05415062004371,540901-0122-6410-01-04
05415062004388,540901-0222-6410-01-04
06286219001029,541001-0130-2707-01-19
06286023000195,541001-0122-2713-01-19
05055565757338,541001-0122-2706-01-19
07640133683140,541001-0122-2707-01-19
06285101003554,541001-0122-2707-02-19
06285085001706,570401-0122-6401-01-11
06091403215386,570401-0122-6401-02-04
05702191023602,370202-0101-0901-01-18
04019338606385,740102-0130-5601-01-05
04031626000538,740102-0230-5406-01-11
08435214416545,740102-0230-5406-02-01
96600000002509,260101-0122-6401-01-04
96600000001806,260101-0222-6401-01-04
06285104000499,260101-0122-6401-02-04
06285104000505,260101-0222-6401-02-04
96600000008492,260201-0122-6410-01-04
96600000008162,260201-0122-6410-01-04
06285104000512,260201-0122-6401-01-04
06285104000529,260201-0222-6401-01-04
06285128004633,480301-0130-4804-01-05
06285128000192,480301-0130-4804-01-05
06285128000208,480301-0130-4804-01-05
06285128004626,480301-0122-0401-01-04
06281080010545,480301-0122-6410-01-04
06281080010552,480301-0222-6410-01-04
06281086310038,480301-0122-6410-02-04
06281086310045,480301-0222-6410-02-04
06291100082612,480301-0130-4804-02-05
06291100082605,480301-0130-4804-02-05
05606251003071,480301-0222-6410-03-04
06285128006699,480301-0222-6410-04-04
06285095010774,480301-0122-6410-03-04
06285095010767,480301-0222-6410-05-04
06251065018538,480301-0130-4804-03-05
06251065018545,480301-0130-4804-03-05
06251065018507,480301-0222-6410-06-04
06251065018521,480301-0222-6410-06-04
06285147008896,480301-0130-4804-04-05
06285147008858,480301-0130-4804-04-05
06285147008957,480301-0122-0401-02-04
06281086011690,480301-0130-4804-05-05
06281086002124,480301-0130-6001-01-05
06281086011706,480301-0130-6001-01-05
06281086011638,480301-0122-0401-03-04
06281086001622,480301-0122-0401-03-04
05415062001073,480301-0130-4804-06-05
05415062001028,480301-0130-4804-06-05
05415062001042,480301-0130-4804-06-05
05415062000953,480301-0122-0401-04-04
05415062000991,480301-0122-0401-04-04
05415062002254,480301-0222-4803-01-19
06251159036165,480301-0130-4804-07-05
06251159036158,480301-0130-6001-02-05
06251159036141,480301-0122-0401-05-04
96697798899127,600201-0230-2713-01-01
96611223344621,600201-0330-2713-01-01
07612098001710,600201-0430-2713-01-01
96611223344609,600201-0430-2713-01-01
06286059000282,600201-0122-6401-01-04
06286059000299,600201-0222-6401-01-04
07612791009228,600201-0122-6401-02-04
07612791009365,600201-0222-6401-02-04
00300020201556,570105-0122-6410-01-04
00300020203550,570105-0122-6410-01-04
00300020202553,570105-0222-6410-01-04
00300020204557,570105-0222-6410-01-04
07612797372715,570302-0122-2706-01-19
05713844000062,560101-0122-2713-01-19
96600000000234,760301-0141-5401-01-12
96600000002823,760301-0141-5401-01-11
96600000002051,760301-0241-5401-01-11
96600000001464,760301-0341-5401-01-11
18904091145055,760301-0341-2601-01-11
06285096000385,570107-0122-2706-01-19
06285096002686,570107-0222-2713-01-17
06285096000392,570107-0322-2706-01-19
06251065016633,140501-0109-2713-01-17
06251065016640,140501-0209-2713-01-17
06251065016657,140501-0309-2713-01-17
06251065016664,140501-0409-2713-01-17
06251065016671,140501-0509-2713-01-17
08718692510357,541101-0122-2706-01-19
08718692510340,541101-0222-2706-01-19
08718692510364,541101-0222-2706-01-19
05000456054751,760401-0130-2713-01-17
06281147002216,230101-0101-0601-01-18
06281147000717,230101-0101-0601-01-18
06281080015847,750301-0122-3701-01-03
06281080015823,750301-0122-3701-02-03
06281080015830,750301-0122-3701-03-03
96600000002765,070604-0122-3701-01-04
06285128002752,370301-0101-0601-01-18
06285128012027,370301-0201-0601-01-18
03499320011495,370301-0101-0601-02-18
03499320011488,370301-0201-0601-02-18
06285104000222,010102-0101-0601-01-18
06285104000161,010102-0130-3801-01-05
